county_name_panel,county_code_raw,year,county_code_key,ssb12993_region_code,ssb12993_region_label,teacher_pls_total_teachers_n,teacher_pls_full_time_teachers_n,teacher_pls_full_time_share_pct,teacher_pls_share_long_teacher_education_pct,teacher_pls_share_short_teacher_education_pct,teacher_pls_share_with_teacher_education_pct,teacher_pls_share_with_other_educational_science_pct,teacher_pls_share_without_educational_science_pct,teacher_pls_share_upper_secondary_pct,teacher_pls_share_with_pedagogical_education_pct,ssb12919_region_code,ssb12919_region_label,teacher_all_total_teachers_n,teacher_all_share_with_teacher_education_pct,teacher_all_share_with_other_educational_science_pct,teacher_all_share_with_educational_science_pct,teacher_all_share_without_educational_science_pct,teacher_all_share_upper_secondary_or_less_pct
Aust-Agder ( - 2019),9,2017,09,09,Aust-Agder (-2019),1792.0,1185.0,66.12723214285714,5.245535714285714,71.484375,76.72991071428571,11.328125,5.301339285714286,6.640625,88.05803571428571,EKA09,Aust-Agder (-2019),1759.0,75.04263786242184,10.574189880613986,85.61682774303581,8.129619101762366,6.253553155201819
Aust-Agder ( - 2019),9,2018,09,09,Aust-Agder (-2019),1790.0,1241.0,69.32960893854748,5.754189944134079,71.89944134078212,77.6536312849162,10.949720670391061,5.027932960893855,6.368715083798883,88.60335195530726,EKA09,Aust-Agder (-2019),1750.0,76.0,9.885714285714284,85.88571428571429,8.0,6.114285714285715
Aust-Agder ( - 2019),9,2019,09,09,Aust-Agder (-2019),1800.0,1243.0,69.05555555555556,5.944444444444445,71.61111111111111,77.55555555555556,11.0,5.555555555555555,5.888888888888888,88.55555555555556,EKA09,Aust-Agder (-2019),1751.0,76.18503712164477,9.822958309537407,86.00799543118218,8.338092518560822,5.653912050256996
Vest-Agder ( - 2019),10,2007,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2008,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2009,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2010,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2011,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2012,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2013,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2014,10,,,,,,,,,,,,,,,,,,,,
Vest-Agder ( - 2019),10,2015,10,10,Vest-Agder (-2019),2630.0,1625.0,61.78707224334601,4.220532319391635,76.27376425855513,80.49429657794677,11.140684410646388,3.6121673003802277,4.752851711026616,91.63498098859316,EKA10,Vest-Agder (-2019),2686.0,76.06105733432614,10.461653015636635,86.52271034996278,8.897989575577066,4.579300074460164
